make,model,year,cylinders,trany,displ,VClass,co2,barrels08,fuelCost08,fuelType,highway08,city08,comb08
Acura,NSX,2000,6.0,Automatic 4-spd,3.0,Two Seaters,-1,18.311666666666667,2600,Premium,22,15,18
Acura,NSX,2000,6.0,Manual 6-spd,3.2,Two Seaters,-1,18.311666666666667,2600,Premium,22,15,18
BMW,M Coupe,2000,6.0,Manual 5-spd,3.2,Two Seaters,-1,17.347894736842107,2500,Premium,23,17,19
BMW,Z3 Coupe,2000,6.0,Automatic 4-spd,2.8,Two Seaters,-1,17.347894736842107,2500,Premium,24,17,19
BMW,Z3 Coupe,2000,6.0,Manual 5-spd,2.8,Two Seaters,-1,17.347894736842107,2500,Premium,24,17,19
BMW,Z3 Roadster,2000,6.0,Automatic 4-spd,2.5,Two Seaters,-1,17.347894736842107,2500,Premium,24,17,19
BMW,Z3 Roadster,2000,6.0,Manual 5-spd,2.5,Two Seaters,-1,16.4805,2350,Premium,25,17,20
BMW,Z3 Roadster,2000,6.0,Automatic 4-spd,2.8,Two Seaters,-1,17.347894736842107,2500,Premium,24,17,19
BMW,Z3 Roadster,2000,6.0,Manual 5-spd,2.8,Two Seaters,-1,17.347894736842107,2500,Premium,24,17,19
BMW,Z8,2000,8.0,Manual 6-spd,4.9,Two Seaters,-1,21.974,3150,Premium,19,12,15
Chevrolet,Corvette,2000,8.0,Automatic 4-spd,5.7,Two Seaters,-1,18.311666666666667,2600,Premium,23,15,18
Chevrolet,Corvette,2000,8.0,Manual 6-spd,5.7,Two Seaters,-1,17.347894736842107,2500,Premium,25,16,19
Dodge,Viper Convertible,2000,10.0,Manual 6-spd,8.0,Two Seaters,-1,23.543571428571425,3350,Premium,19,11,14
Dodge,Viper Coupe,2000,10.0,Manual 6-spd,8.0,Two Seaters,-1,23.543571428571425,3350,Premium,19,11,14
Ferrari,360 Modena/Spider,2000,8.0,Manual 6-spd,3.6,Two Seaters,-1,29.96454545454546,4300,Premium,15,10,11
Ferrari,360 Modena/Spider,2000,8.0,Automatic (S6),3.6,Two Seaters,-1,29.96454545454546,4300,Premium,15,10,11
Ferrari,550 Maranello,2000,12.0,Manual 6-spd,5.5,Two Seaters,-1,36.623333333333335,5250,Premium,12,8,9
Honda,Insight,2000,3.0,Manual 5-spd,1.0,Two Seaters,-1,6.219056603773585,700,Regular,61,49,53
Honda,S2000,2000,4.0,Manual 6-spd,2.0,Two Seaters,-1,16.4805,2350,Premium,23,18,20
Lotus,Esprit V8,2000,8.0,Manual 5-spd,3.5,Two Seaters,-1,20.600625,2950,Premium,21,14,16
Mazda,MX-5 Miata,2000,4.0,Automatic 4-spd,1.8,Two Seaters,-1,14.98227272727273,1700,Regular,25,20,22
Mazda,MX-5 Miata,2000,4.0,Manual 5-spd,1.8,Two Seaters,-1,13.73375,1550,Regular,27,22,24
Mazda,MX-5 Miata,2000,4.0,Manual 6-spd,1.8,Two Seaters,-1,14.330869565217393,1650,Regular,26,21,23
Mercedes-Benz,SL500,2000,8.0,Automatic 5-spd,5.0,Two Seaters,-1,19.388823529411766,2750,Premium,21,14,17
Mercedes-Benz,SL600,2000,12.0,Automatic 5-spd,6.0,Two Seaters,-1,23.543571428571425,3350,Premium,18,12,14
Mercedes-Benz,SLK230 Kompressor,2000,4.0,Automatic 5-spd,2.3,Two Seaters,-1,14.98227272727273,2150,Premium,27,20,22
Mercedes-Benz,SLK230 Kompressor,2000,4.0,Manual 5-spd,2.3,Two Seaters,-1,14.98227272727273,2150,Premium,28,19,22
Plymouth,Prowler,2000,6.0,Automatic 4-spd,3.5,Two Seaters,-1,18.311666666666667,2600,Premium,21,15,18
Porsche,Boxster,2000,6.0,Automatic 5-spd,2.7,Two Seaters,-1,18.311666666666667,2600,Premium,23,16,18
Porsche,Boxster,2000,6.0,Manual 5-spd,2.7,Two Seaters,-1,16.4805,2350,Premium,25,17,20
Porsche,Boxster S,2000,6.0,Automatic 5-spd,3.2,Two Seaters,-1,19.388823529411766,2750,Premium,22,15,17
Porsche,Boxster S,2000,6.0,Manual 6-spd,3.2,Two Seaters,-1,18.311666666666667,2600,Premium,23,16,18
Toyota,MR2,2000,4.0,Manual 5-spd,1.8,Two Seaters,-1,13.73375,1550,Regular,27,22,24
Aston Martin,DB-7 Vantage Coupe,2000,12.0,Automatic 5-spd,5.9,Minicompact Cars,-1,27.4675,3900,Premium,17,10,12
