make,model,year,transmission,drive,date_range,fuel_type_summary,class_summary,cylinders,displ,co2,barrels08,fuelCost08,highway08,city08,comb08
Acura,NSX,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,3.0,-1,18.311666666666667,2600,22,15,18
Acura,NSX,2000,Manual,2WD,2000-2010,Gas,Car,6.0,3.2,-1,18.311666666666667,2600,22,15,18
BMW,M Coupe,2000,Manual,2WD,2000-2010,Gas,Car,6.0,3.2,-1,17.347894736842107,2500,23,17,19
BMW,Z3 Coupe,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.8,-1,17.347894736842107,2500,24,17,19
BMW,Z3 Coupe,2000,Manual,2WD,2000-2010,Gas,Car,6.0,2.8,-1,17.347894736842107,2500,24,17,19
BMW,Z3 Roadster,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.5,-1,17.347894736842107,2500,24,17,19
BMW,Z3 Roadster,2000,Manual,2WD,2000-2010,Gas,Car,6.0,2.5,-1,16.4805,2350,25,17,20
BMW,Z3 Roadster,2000,Automatic,2WD,2000-2010,Gas,Car,6.0,2.8,-1,17.347894736842107,2500,24,17,19
BMW,Z3 Roadster,2000,Manual,2WD,2000-2010,Gas,Car,6.0,2.8,-1,17.347894736842107,2500,24,17,19
BMW,Z8,2000,Manual,2WD,2000-2010,Gas,Car,8.0,4.9,-1,21.974,3150,19,12,15
Chevrolet,Corvette,2000,Automatic,2WD,2000-2010,Gas,Car,8.0,5.7,-1,18.311666666666667,2600,23,15,18
Chevrolet,Corvette,2000,Manual,2WD,2000-2010,Gas,Car,8.0,5.7,-1,17.347894736842107,2500,25,16,19
Dodge,Viper Convertible,2000,Manual,2WD,2000-2010,Gas,Car,10.0,8.0,-1,23.543571428571425,3350,19,11,14
Dodge,Viper Coupe,2000,Manual,2WD,2000-2010,Gas,Car,10.0,8.0,-1,23.543571428571425,3350,19,11,14
Ferrari,360 Modena/Spider,2000,Manual,2WD,2000-2010,Gas,Car,8.0,3.6,-1,29.96454545454546,4300,15,10,11
Ferrari,360 Modena/Spider,2000,Automatic,2WD,2000-2010,Gas,Car,8.0,3.6,-1,29.96454545454546,4300,15,10,11
Ferrari,550 Maranello,2000,Manual,2WD,2000-2010,Gas,Car,12.0,5.5,-1,36.623333333333335,5250,12,8,9
Honda,Insight,2000,Manual,2WD,2000-2010,Gas,Car,3.0,1.0,-1,6.219056603773585,700,61,49,53
Honda,S2000,2000,Manual,2WD,2000-2010,Gas,Car,4.0,2.0,-1,16.4805,2350,23,18,20
Lotus,Esprit V8,2000,Manual,2WD,2000-2010,Gas,Car,8.0,3.5,-1,20.600625,2950,21,14,16
Mazda,MX-5 Miata,2000,Automatic,2WD,2000-2010,Gas,Car,4.0,1.8,-1,14.98227272727273,1700,25,20,22
Mazda,MX-5 Miata,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.8,-1,13.73375,1550,27,22,24
Mazda,MX-5 Miata,2000,Manual,2WD,2000-2010,Gas,Car,4.0,1.8,-1,14.330869565217393,1650,26,21,23
Mercedes-Benz,SL500,2000,Automatic,2WD,2000-2010,Gas,Car,8.0,5.0,-1,19.388823529411766,2750,21,14,17
Mercedes-Benz,SL600,2000,Automatic,2WD,2000-2010,Gas,Car,12.0,6.0,-1,23.543571428571425,3350,18,12,14
